#
#  candidatus_phaeomarinobacter_ectocarpicyc 1.0 Genes link table generated on Sun Jun 25, 2023
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
BSI__PFLU_U_BE1__K141_173029_8			
BSI__PFLU_U_BE1__K141_101439_165			
BSI__PFLU_U_BE1__K141_173029_9			
BSI__PFLU_U_BE1__K141_101439_166			
BSI__PFLU_U_BE1__K141_173029_10		ispH	
BSI__PFLU_U_BE1__K141_101439_167			
BSI__PFLU_U_BE1__K141_173029_11		MA20_16040	
BSI__PFLU_U_BE1__K141_101439_168			
BSI__PFLU_U_BE1__K141_173029_12			
BSI__PFLU_U_BE1__K141_101439_169			
BSI__PFLU_U_BE1__K141_173029_13			
BSI__PFLU_U_BE1__K141_101439_170			
BSI__PFLU_U_BE1__K141_173029_14			
BSI__PFLU_U_BE1__K141_101439_171			
BSI__PFLU_U_BE1__K141_173029_15			
BSI__PFLU_U_BE1__K141_101439_172			
BSI__PFLU_U_BE1__K141_173029_16			
BSI__PFLU_U_BE1__K141_101439_173			
BSI__PFLU_U_BE1__K141_173029_17			
BSI__PFLU_U_BE1__K141_101439_174			
BSI__PFLU_U_BE1__K141_173029_18			
BSI__PFLU_U_BE1__K141_101439_175		fpg	
BSI__PFLU_U_BE1__K141_173029_19			
BSI__PFLU_U_BE1__K141_101439_176		MA20_15895	
BSI__PFLU_U_BE1__K141_173029_20			
BSI__PFLU_U_BE1__K141_101439_177			
BSI__PFLU_U_BE1__K141_173029_21			
BSI__PFLU_U_BE1__K141_101439_178			
BSI__PFLU_U_BE1__K141_173029_22			
BSI__PFLU_U_BE1__K141_101439_179		rpsT	
BSI__PFLU_U_BE1__K141_173029_23			
BSI__PFLU_U_BE1__K141_101439_180		pspE	
BSI__PFLU_U_BE1__K141_173029_24			
BSI__PFLU_U_BE1__K141_101439_181		dnaA	
BSI__PFLU_U_BE1__K141_173029_25			
BSI__PFLU_U_BE1__K141_101439_182			
BSI__PFLU_U_BE1__K141_173029_26			
BSI__PFLU_U_BE1__K141_101439_183		dnaN	
BSI__PFLU_U_BE1__K141_173029_27			
BSI__PFLU_U_BE1__K141_101439_184		recF	
BSI__PFLU_U_BE1__K141_173029_28			
BSI__PFLU_U_BE1__K141_101439_185		clpP3	
BSI__PFLU_U_BE1__K141_173029_29			
BSI__PFLU_U_BE1__K141_101439_186		gyrB	
BSI__PFLU_U_BE1__K141_173029_30			
BSI__PFLU_U_BE1__K141_101439_187			
BSI__PFLU_U_BE1__K141_173029_31			
BSI__PFLU_U_BE1__K141_101439_188		pbpC	
BSI__PFLU_U_BE1__K141_173029_32			
BSI__PFLU_U_BE1__K141_101439_189			
BSI__PFLU_U_BE1__K141_173029_33			
BSI__PFLU_U_BE1__K141_101439_190			
BSI__PFLU_U_BE1__K141_173029_34		nadK	
BSI__PFLU_U_BE1__K141_101439_191			
BSI__PFLU_U_BE1__K141_173029_35			
BSI__PFLU_U_BE1__K141_101439_192			
BSI__PFLU_U_BE1__K141_173029_36		MA20_31455	
BSI__PFLU_U_BE1__K141_101439_193			
BSI__PFLU_U_BE1__K141_173029_37		MA20_31460	
BSI__PFLU_U_BE1__K141_101439_194		romA	
BSI__PFLU_U_BE1__K141_173029_38			
BSI__PFLU_U_BE1__K141_101439_195			
BSI__PFLU_U_BE1__K141_173029_39			
BSI__PFLU_U_BE1__K141_101439_196			
BSI__PFLU_U_BE1__K141_173029_40		fadE21	
BSI__PFLU_U_BE1__K141_101439_197		regB	
BSI__PFLU_U_BE1__K141_173029_41			
BSI__PFLU_U_BE1__K141_101439_198		actR	
BSI__PFLU_U_BE1__K141_173029_42			
BSI__PFLU_U_BE1__K141_101439_199			
BSI__PFLU_U_BE1__K141_173029_43			
BSI__PFLU_U_BE1__K141_101439_200			
BSI__PFLU_U_BE1__K141_173029_44		nylB	
BSI__PFLU_U_BE1__K141_101439_201			
